User,Group,RegisterTime,Info
0,,2023-09-19 20:17:02.468275,TEST_INFO
999962779,БИ-3-22-08,2023-10-30 22:00:08.191458,"{""id"": 999962779, ""is_bot"": false, ""first_name"": ""Павел"", ""last_name"": ""Чумаков"", ""username"": ""FisshKaa"", ""language_code"": ""ru""}"
760095030,БИ 3 22 03,2023-10-31 00:29:24.240863,"{""id"": 760095030, ""is_bot"": false, ""first_name"": ""I R"", ""last_name"": ""😶‍🌫️"", ""username"": ""root_kali"", ""language_code"": ""ru""}"
442801867,-,2023-10-31 00:46:32.552322,"{""id"": 442801867, ""is_bot"": false, ""first_name"": ""Кирилл"", ""username"": ""raredery"", ""language_code"": ""ru""}"
707263270,Би-3-22-08,2023-11-03 19:35:43.087492,"{""id"": 707263270, ""is_bot"": false, ""first_name"": ""Gympo(Дима)"", ""username"": ""Gympooo"", ""language_code"": ""ru""}"
898328175,-,2023-11-03 19:35:43.100495,"{""id"": 898328175, ""is_bot"": false, ""first_name"": ""Gramnt"", ""username"": ""Gramnt"", ""language_code"": ""ru""}"
463508341,-,2023-11-03 19:35:43.101495,"{""id"": 463508341, ""is_bot"": false, ""first_name"": ""Екатерина"", ""username"": ""ekaterina171200"", ""language_code"": ""ru"", ""is_premium"": true}"
